2026-04-24 15:16:05 INFO     Starting simulation...
2026-04-24 15:16:10 WARNING  266 points with problematic saturation / inverse linearity values!
2026-04-24 15:16:12 INFO     Simulating filter F158...
2026-04-24 15:16:12 INFO     Creating PSF using stpsf
2026-04-24 15:16:14 INFO     Using pupil mask 'F062' and detector 'WFI01'.
2026-04-24 15:16:14 INFO     Using pupil mask 'F062' and detector 'WFI10'.
2026-04-24 15:16:14 INFO     Using pupil mask 'F158' and detector 'WFI10'.
2026-04-24 15:16:14 INFO     No source spectrum supplied, therefore defaulting to 5700 K blackbody
2026-04-24 15:16:14 INFO     Computing wavelength weights using synthetic photometry for F158...
2026-04-24 15:16:14 INFO     Using pupil mask 'F158' and detector 'WFI10'.
2026-04-24 15:16:14 INFO     PSF calc using fov_arcsec = 5.000000, oversample = 4, number of wavelengths = 10
2026-04-24 15:16:14 INFO     Creating optical system model:
2026-04-24 15:16:14 INFO     Initialized OpticalSystem: Roman+WFI
2026-04-24 15:16:14 INFO     Roman Entrance Pupil: Loaded amplitude transmission from /home/np274/roman_l2_job/stpsf-data/WFI/pupils/RST_WIM_Filter_F158_WFI10.fits.gz
2026-04-24 15:16:14 INFO     Roman Entrance Pupil: Loaded OPD from /home/np274/roman_l2_job/stpsf-data/upscaled_HST_OPD.fits
2026-04-24 15:16:14 INFO     Added pupil plane: Roman Entrance Pupil
2026-04-24 15:16:14 INFO     Added coordinate inversion plane: OTE exit pupil
2026-04-24 15:16:14 INFO     Added pupil plane: Field Dependent Aberration (WFI10)
2026-04-24 15:16:14 INFO     Added detector with pixelscale=0.1078577405 and oversampling=4: WFI detector
2026-04-24 15:16:14 INFO     Calculating PSF with 10 wavelengths
2026-04-24 15:16:14 INFO      Propagating wavelength = 1.40335e-06 m
2026-04-24 15:16:27 INFO      Propagating wavelength = 1.44405e-06 m
2026-04-24 15:16:29 INFO      Propagating wavelength = 1.48475e-06 m
2026-04-24 15:16:30 INFO      Propagating wavelength = 1.52545e-06 m
2026-04-24 15:16:32 INFO      Propagating wavelength = 1.56615e-06 m
2026-04-24 15:16:33 INFO      Propagating wavelength = 1.60685e-06 m
2026-04-24 15:16:35 INFO      Propagating wavelength = 1.64755e-06 m
2026-04-24 15:16:36 INFO      Propagating wavelength = 1.68825e-06 m
2026-04-24 15:16:38 INFO      Propagating wavelength = 1.72895e-06 m
2026-04-24 15:16:39 INFO      Propagating wavelength = 1.76965e-06 m
2026-04-24 15:16:41 INFO       Calculation completed in 26.452 s
2026-04-24 15:16:41 INFO     PSF Calculation completed.
2026-04-24 15:16:41 INFO     Calculating jitter using gaussian
2026-04-24 15:16:41 INFO     Jitter: Convolving with Gaussian with sigma=0.012 arcsec
2026-04-24 15:16:41 INFO             resulting image peak drops to 0.972 of its previous value
2026-04-24 15:16:41 INFO     Detector charge diffusion not applied because charge_diffusion_sigma option is 0
2026-04-24 15:16:41 INFO      Adding extension with image downsampled to detector pixel scale.
2026-04-24 15:16:41 INFO      Downsampling to detector pixel scale, by 4
2026-04-24 15:16:41 INFO      Downsampling to detector pixel scale, by 4
2026-04-24 15:16:41 INFO     Creating PSF using stpsf
2026-04-24 15:16:41 INFO     Using pupil mask 'F062' and detector 'WFI01'.
2026-04-24 15:16:41 INFO     Using pupil mask 'F062' and detector 'WFI10'.
2026-04-24 15:16:41 INFO     Using pupil mask 'F158' and detector 'WFI10'.
2026-04-24 15:16:41 INFO     No source spectrum supplied, therefore defaulting to 5700 K blackbody
2026-04-24 15:16:41 INFO     Computing wavelength weights using synthetic photometry for F158...
2026-04-24 15:16:42 INFO     Using pupil mask 'F158' and detector 'WFI10'.
2026-04-24 15:16:42 INFO     PSF calc using fov_arcsec = 5.000000, oversample = 4, number of wavelengths = 10
2026-04-24 15:16:42 INFO     Creating optical system model:
2026-04-24 15:16:42 INFO     Initialized OpticalSystem: Roman+WFI
2026-04-24 15:16:42 INFO     Roman Entrance Pupil: Loaded amplitude transmission from /home/np274/roman_l2_job/stpsf-data/WFI/pupils/RST_WIM_Filter_F158_WFI10.fits.gz
2026-04-24 15:16:42 INFO     Roman Entrance Pupil: Loaded OPD from /home/np274/roman_l2_job/stpsf-data/upscaled_HST_OPD.fits
2026-04-24 15:16:42 INFO     Added pupil plane: Roman Entrance Pupil
2026-04-24 15:16:42 INFO     Added coordinate inversion plane: OTE exit pupil
2026-04-24 15:16:42 INFO     Added pupil plane: Field Dependent Aberration (WFI10)
2026-04-24 15:16:42 INFO     Added detector with pixelscale=0.1078577405 and oversampling=4: WFI detector
2026-04-24 15:16:42 INFO     Calculating PSF with 10 wavelengths
2026-04-24 15:16:42 INFO      Propagating wavelength = 1.40335e-06 m
2026-04-24 15:16:43 INFO      Propagating wavelength = 1.44405e-06 m
2026-04-24 15:16:45 INFO      Propagating wavelength = 1.48475e-06 m
2026-04-24 15:16:46 INFO      Propagating wavelength = 1.52545e-06 m
2026-04-24 15:16:48 INFO      Propagating wavelength = 1.56615e-06 m
2026-04-24 15:16:49 INFO      Propagating wavelength = 1.60685e-06 m
2026-04-24 15:16:51 INFO      Propagating wavelength = 1.64755e-06 m
2026-04-24 15:16:52 INFO      Propagating wavelength = 1.68825e-06 m
2026-04-24 15:16:54 INFO      Propagating wavelength = 1.72895e-06 m
2026-04-24 15:16:55 INFO      Propagating wavelength = 1.76965e-06 m
2026-04-24 15:16:57 INFO       Calculation completed in 14.978 s
2026-04-24 15:16:57 INFO     PSF Calculation completed.
2026-04-24 15:16:57 INFO     Calculating jitter using gaussian
2026-04-24 15:16:57 INFO     Jitter: Convolving with Gaussian with sigma=0.012 arcsec
2026-04-24 15:16:57 INFO             resulting image peak drops to 0.973 of its previous value
2026-04-24 15:16:57 INFO     Detector charge diffusion not applied because charge_diffusion_sigma option is 0
2026-04-24 15:16:57 INFO      Adding extension with image downsampled to detector pixel scale.
2026-04-24 15:16:57 INFO      Downsampling to detector pixel scale, by 4
2026-04-24 15:16:57 INFO      Downsampling to detector pixel scale, by 4
2026-04-24 15:16:57 INFO     Creating PSF using stpsf
2026-04-24 15:16:57 INFO     Using pupil mask 'F062' and detector 'WFI01'.
2026-04-24 15:16:57 INFO     Using pupil mask 'F062' and detector 'WFI10'.
2026-04-24 15:16:57 INFO     Using pupil mask 'F158' and detector 'WFI10'.
2026-04-24 15:16:57 INFO     No source spectrum supplied, therefore defaulting to 5700 K blackbody
2026-04-24 15:16:57 INFO     Computing wavelength weights using synthetic photometry for F158...
2026-04-24 15:16:58 INFO     Using pupil mask 'F158' and detector 'WFI10'.
2026-04-24 15:16:58 INFO     PSF calc using fov_arcsec = 5.000000, oversample = 4, number of wavelengths = 10
2026-04-24 15:16:58 INFO     Creating optical system model:
2026-04-24 15:16:58 INFO     Initialized OpticalSystem: Roman+WFI
2026-04-24 15:16:58 INFO     Roman Entrance Pupil: Loaded amplitude transmission from /home/np274/roman_l2_job/stpsf-data/WFI/pupils/RST_WIM_Filter_F158_WFI10.fits.gz
2026-04-24 15:16:58 INFO     Roman Entrance Pupil: Loaded OPD from /home/np274/roman_l2_job/stpsf-data/upscaled_HST_OPD.fits
2026-04-24 15:16:58 INFO     Added pupil plane: Roman Entrance Pupil
2026-04-24 15:16:58 INFO     Added coordinate inversion plane: OTE exit pupil
2026-04-24 15:16:58 INFO     Added pupil plane: Field Dependent Aberration (WFI10)
2026-04-24 15:16:58 INFO     Added detector with pixelscale=0.1078577405 and oversampling=4: WFI detector
2026-04-24 15:16:58 INFO     Calculating PSF with 10 wavelengths
2026-04-24 15:16:58 INFO      Propagating wavelength = 1.40335e-06 m
2026-04-24 15:16:59 INFO      Propagating wavelength = 1.44405e-06 m
2026-04-24 15:17:01 INFO      Propagating wavelength = 1.48475e-06 m
2026-04-24 15:17:02 INFO      Propagating wavelength = 1.52545e-06 m
2026-04-24 15:17:04 INFO      Propagating wavelength = 1.56615e-06 m
2026-04-24 15:17:05 INFO      Propagating wavelength = 1.60685e-06 m
2026-04-24 15:17:07 INFO      Propagating wavelength = 1.64755e-06 m
2026-04-24 15:17:08 INFO      Propagating wavelength = 1.68825e-06 m
2026-04-24 15:17:10 INFO      Propagating wavelength = 1.72895e-06 m
2026-04-24 15:17:11 INFO      Propagating wavelength = 1.76965e-06 m
2026-04-24 15:17:13 INFO       Calculation completed in 14.898 s
2026-04-24 15:17:13 INFO     PSF Calculation completed.
2026-04-24 15:17:13 INFO     Calculating jitter using gaussian
2026-04-24 15:17:13 INFO     Jitter: Convolving with Gaussian with sigma=0.012 arcsec
2026-04-24 15:17:13 INFO             resulting image peak drops to 0.972 of its previous value
2026-04-24 15:17:13 INFO     Detector charge diffusion not applied because charge_diffusion_sigma option is 0
2026-04-24 15:17:13 INFO      Adding extension with image downsampled to detector pixel scale.
2026-04-24 15:17:13 INFO      Downsampling to detector pixel scale, by 4
2026-04-24 15:17:13 INFO      Downsampling to detector pixel scale, by 4
2026-04-24 15:17:13 INFO     Creating PSF using stpsf
2026-04-24 15:17:13 INFO     Using pupil mask 'F062' and detector 'WFI01'.
2026-04-24 15:17:13 INFO     Using pupil mask 'F062' and detector 'WFI10'.
2026-04-24 15:17:13 INFO     Using pupil mask 'F158' and detector 'WFI10'.
2026-04-24 15:17:13 INFO     No source spectrum supplied, therefore defaulting to 5700 K blackbody
2026-04-24 15:17:13 INFO     Computing wavelength weights using synthetic photometry for F158...
2026-04-24 15:17:13 INFO     Using pupil mask 'F158' and detector 'WFI10'.
