2026-04-24 14:41:02 INFO     Starting simulation...
2026-04-24 14:41:11 WARNING  1930 points with problematic saturation / inverse linearity values!
2026-04-24 14:41:15 INFO     Simulating filter F158...
2026-04-24 14:41:15 INFO     Creating PSF using stpsf
2026-04-24 14:41:16 INFO     Using pupil mask 'F062' and detector 'WFI01'.
2026-04-24 14:41:16 INFO     Using pupil mask 'F062' and detector 'WFI07'.
2026-04-24 14:41:17 INFO     Using pupil mask 'F158' and detector 'WFI07'.
2026-04-24 14:41:17 INFO     No source spectrum supplied, therefore defaulting to 5700 K blackbody
2026-04-24 14:41:17 INFO     Computing wavelength weights using synthetic photometry for F158...
2026-04-24 14:41:17 INFO     Using pupil mask 'F158' and detector 'WFI07'.
2026-04-24 14:41:17 INFO     PSF calc using fov_arcsec = 5.000000, oversample = 4, number of wavelengths = 10
2026-04-24 14:41:17 INFO     Creating optical system model:
2026-04-24 14:41:17 INFO     Initialized OpticalSystem: Roman+WFI
2026-04-24 14:41:17 INFO     Roman Entrance Pupil: Loaded amplitude transmission from /home/np274/roman_l2_job/stpsf-data/WFI/pupils/RST_WIM_Filter_F158_WFI07.fits.gz
2026-04-24 14:41:17 INFO     Roman Entrance Pupil: Loaded OPD from /home/np274/roman_l2_job/stpsf-data/upscaled_HST_OPD.fits
2026-04-24 14:41:17 INFO     Added pupil plane: Roman Entrance Pupil
2026-04-24 14:41:17 INFO     Added coordinate inversion plane: OTE exit pupil
2026-04-24 14:41:17 INFO     Added pupil plane: Field Dependent Aberration (WFI07)
2026-04-24 14:41:17 INFO     Added detector with pixelscale=0.1078577405 and oversampling=4: WFI detector
2026-04-24 14:41:17 INFO     Calculating PSF with 10 wavelengths
2026-04-24 14:41:17 INFO      Propagating wavelength = 1.3963e-06 m
2026-04-24 14:41:30 INFO      Propagating wavelength = 1.4369e-06 m
2026-04-24 14:41:31 INFO      Propagating wavelength = 1.4775e-06 m
2026-04-24 14:41:33 INFO      Propagating wavelength = 1.5181e-06 m
2026-04-24 14:41:34 INFO      Propagating wavelength = 1.5587e-06 m
2026-04-24 14:41:36 INFO      Propagating wavelength = 1.5993e-06 m
2026-04-24 14:41:37 INFO      Propagating wavelength = 1.6399e-06 m
2026-04-24 14:41:39 INFO      Propagating wavelength = 1.6805e-06 m
2026-04-24 14:41:40 INFO      Propagating wavelength = 1.7211e-06 m
2026-04-24 14:41:42 INFO      Propagating wavelength = 1.7617e-06 m
2026-04-24 14:41:43 INFO       Calculation completed in 26.133 s
2026-04-24 14:41:43 INFO     PSF Calculation completed.
2026-04-24 14:41:43 INFO     Calculating jitter using gaussian
2026-04-24 14:41:43 INFO     Jitter: Convolving with Gaussian with sigma=0.012 arcsec
2026-04-24 14:41:43 INFO             resulting image peak drops to 0.972 of its previous value
2026-04-24 14:41:43 INFO     Detector charge diffusion not applied because charge_diffusion_sigma option is 0
2026-04-24 14:41:43 INFO      Adding extension with image downsampled to detector pixel scale.
2026-04-24 14:41:43 INFO      Downsampling to detector pixel scale, by 4
2026-04-24 14:41:43 INFO      Downsampling to detector pixel scale, by 4
2026-04-24 14:41:43 INFO     Creating PSF using stpsf
2026-04-24 14:41:43 INFO     Using pupil mask 'F062' and detector 'WFI01'.
2026-04-24 14:41:43 INFO     Using pupil mask 'F062' and detector 'WFI07'.
2026-04-24 14:41:44 INFO     Using pupil mask 'F158' and detector 'WFI07'.
2026-04-24 14:41:44 INFO     No source spectrum supplied, therefore defaulting to 5700 K blackbody
2026-04-24 14:41:44 INFO     Computing wavelength weights using synthetic photometry for F158...
2026-04-24 14:41:44 INFO     Using pupil mask 'F158' and detector 'WFI07'.
2026-04-24 14:41:44 INFO     PSF calc using fov_arcsec = 5.000000, oversample = 4, number of wavelengths = 10
2026-04-24 14:41:44 INFO     Creating optical system model:
2026-04-24 14:41:44 INFO     Initialized OpticalSystem: Roman+WFI
2026-04-24 14:41:44 INFO     Roman Entrance Pupil: Loaded amplitude transmission from /home/np274/roman_l2_job/stpsf-data/WFI/pupils/RST_WIM_Filter_F158_WFI07.fits.gz
2026-04-24 14:41:44 INFO     Roman Entrance Pupil: Loaded OPD from /home/np274/roman_l2_job/stpsf-data/upscaled_HST_OPD.fits
2026-04-24 14:41:44 INFO     Added pupil plane: Roman Entrance Pupil
2026-04-24 14:41:44 INFO     Added coordinate inversion plane: OTE exit pupil
2026-04-24 14:41:44 INFO     Added pupil plane: Field Dependent Aberration (WFI07)
2026-04-24 14:41:44 INFO     Added detector with pixelscale=0.1078577405 and oversampling=4: WFI detector
2026-04-24 14:41:44 INFO     Calculating PSF with 10 wavelengths
