kernel_fwhm,n_recovered,n_false_positive,fp_rate,mag_50pct_stars,mag_50pct_galaxies,mag_90pct_stars,mag_90pct_galaxies
2.0,220,17,0.07727272727272727,24.724999999999998,24.15,24.5,23.9
3.0,257,48,0.1867704280155642,24.95,24.2,24.65,23.8
5.0,264,76,0.2878787878787879,24.71,23.9,24.5,23.78
7.0,219,56,0.2557077625570776,24.53,23.825,24.35,23.650000000000002
