kernel_fwhm,n_recovered,n_false_positive,fp_rate,mag_50pct_stars,mag_50pct_galaxies,mag_90pct_stars,mag_90pct_galaxies
2.0,282,0,0.0,25.4,24.65,25.25,24.53
3.0,282,0,0.0,25.475,24.59,25.325,24.425
5.0,265,0,0.0,25.369999999999997,24.44,25.25,24.275
7.0,237,0,0.0,25.04,24.380000000000003,24.875,24.2
