npixels,n_recovered,n_false_positive,fp_rate,mag_50pct_stars,mag_50pct_galaxies,mag_90pct_stars,mag_90pct_galaxies
9,339,5,0.014749262536873156,,24.85,,24.5
16,307,2,0.006514657980456026,25.7375,24.65,25.5875,24.400000000000002
25,260,0,0.0,25.212500000000002,24.475,24.95,24.375
