npixels,n_recovered,n_false_positive,fp_rate,mag_50pct_stars,mag_50pct_galaxies,mag_90pct_stars,mag_90pct_galaxies
9,359,2,0.005571030640668524,,25.1,,24.875
16,339,0,0.0,,25.014285714285716,25.7375,24.725
25,294,0,0.0,25.4,24.75,25.25,24.65
