npixels,n_recovered,n_false_positive,fp_rate,mag_50pct_stars,mag_50pct_galaxies,mag_90pct_stars,mag_90pct_galaxies
9,346,0,0.0,,24.95,,24.8
16,322,0,0.0,25.8125,24.85,25.625,24.65
25,286,0,0.0,25.3625,24.7625,25.175,24.575
