npixels,n_recovered,n_false_positive,fp_rate,mag_50pct_stars,mag_50pct_galaxies,mag_90pct_stars,mag_90pct_galaxies
9,326,2,0.006134969325153374,,24.68,25.8875,24.5
16,297,1,0.003367003367003367,25.7,24.619999999999997,25.4,24.5
25,255,1,0.00392156862745098,25.16,24.5,25.0,24.35
