npixels,n_recovered,n_false_positive,fp_rate,mag_50pct_stars,mag_50pct_galaxies,mag_90pct_stars,mag_90pct_galaxies
9,345,1,0.002898550724637681,,24.875,,24.6875
16,316,0,0.0,25.79,24.75,25.625,24.65
25,269,0,0.0,25.3,24.59,25.025,24.425
