npixels,n_recovered,n_false_positive,fp_rate,mag_50pct_stars,mag_50pct_galaxies,mag_90pct_stars,mag_90pct_galaxies
9,237,66,0.27848101265822783,25.59285714285714,24.15,,
16,170,25,0.14705882352941177,24.8375,24.11,,
25,130,9,0.06923076923076923,24.575,24.05,,
