npixels,n_recovered,n_false_positive,fp_rate,mag_50pct_stars,mag_50pct_galaxies,mag_90pct_stars,mag_90pct_galaxies
9,374,49,0.13101604278074866,,24.825,25.925,24.65
16,324,25,0.07716049382716049,25.775,24.71,25.45,24.55
25,269,6,0.022304832713754646,25.31,24.625,25.025,24.525
